"Meals She Eats: Empowering Advice, Relatable Stories, and Over 25 Recipes to Take Control of Your PCOS",Tom Sullivan,0,4.65,"to-read, cooking",to-read,0,
Flowers for Algernon,Daniel Keyes,0,4.19,"to-read, classic",to-read,0,
The Bell Jar,Sylvia Plath,0,4.04,"to-read, classic",to-read,0,
The Poisonwood Bible,Barbara Kingsolver,0,4.09,"to-read, fiction",to-read,0,
The Song of Achilles,Madeline Miller,0,4.36,"to-read, fiction",to-read,0,
The Perks of Being a Wallflower,Stephen Chbosky,0,4.22,"to-read, ya",to-read,0,
How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,K.C.  Davis,0,4.36,"to-read, personal-growth",to-read,0,
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,0,4.34,"to-read, personal-growth",to-read,0,
Conversations on Love,Natasha Lunn,0,4.33,"to-read, personal-growth",to-read,0,
101 Asian Dishes You Need to Cook Before You Die: Discover a New World of Flavors in Authentic Recipes,Jet Tila,0,4.43,"to-read, cooking",to-read,0,
Food52 Genius Recipes: 100 Recipes That Will Change the Way You Cook,Kristen Miglore,0,4.06,"to-read, cooking",to-read,0,
Ultimate Home Cooking,Gordon Ramsay,0,4.23,"to-read, cooking",to-read,0,
Gordon Ramsay Quick and Delicious: 100 Recipes to Cook in 30 Minutes or Less,Gordon Ramsay,0,3.82,"to-read, cooking",to-read,0,
Happy Place,Emily Henry,0,4.42,"to-read, chick-lit",to-read,0,
Break an Egg!: The Broadway Cookbook,Tara Theoharis,0,4.2,"to-read, cooking",to-read,0,
How to Cook Everything: Simple Recipes for Great Food,Alan Witschonke,0,3.99,"to-read, cooking",to-read,0,
Circe,Madeline Miller,0,4.25,"to-read, fiction",to-read,0,
"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",Lauren Graham,0,3.95,"to-read, bio",to-read,0,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,0,4.09,"to-read, else",to-read,0,
The Nightingale,Kristin Hannah,0,4.6,"to-read, fiction",to-read,0,
Jim Henson: The Biography,Brian Jay Jones,0,3.98,"to-read, bio",to-read,0,
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,0,4.07,ya,read,100,
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,0,4.31,ya,read,100,
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,0,3.84,ya,read,100,
All the Bright Places,Jennifer Niven,0,4.14,"to-read, ya",to-read,0,
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,0,4.33,ya,read,100,
"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,0,4.29,ya,read,100,
"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,0,4.19,ya,read,100,
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,0,4.56,ya,read,100,
"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,0,4.43,ya,read,100,
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,0,4.1,ya,read,100,
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,0,4.42,ya,read,100,
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,0,4.31,ya,read,100,
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,0,4.54,ya,read,100,
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,0,4.47,ya,read,100,
Taste: My Life through Food,Stanley Tucci,0,4.22,"to-read, cooking, bio",to-read,0,
Fahrenheit 451,Ray Bradbury,0,3.97,classic,read,100,
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,0,4.13,classic,read,100,
Pride and Prejudice,Jane Austen,0,4.28,"to-read, classic",to-read,0,
"How to Bake Anything Gluten Free: Over 100 Recipes for Everything from Cakes to Cookies, Doughnuts to Desserts, Bread to Festive Bakes",Becky Excell,0,4.75,"to-read, cooking",to-read,0,
1984,George Orwell,0,4.19,"to-read, classic",to-read,0,
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,0,3.89,"to-read, chick-lit",to-read,0,
"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,0,3.95,"to-read, chick-lit",to-read,0,
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,0,3.84,"to-read, chick-lit",to-read,0,
The Bob's Burgers Burger Book: Real Recipes for Joke Burgers,Loren Bouchard,0,4.48,"to-read, cooking",to-read,0,
Beach Eats: Favorite Surfside Recipes for Every Occasion,The Editors of Coastal Living,0,5,"to-read, cooking",to-read,0,
Pulp: A Practical Guide to Cooking with Fruit,Abra Berens,0,4.22,"to-read, remove",to-read,0,
"The Plant Love Kitchen: An Easy Guide to Plant-Forward Eating, With 75+ Recipes",Marisa   Moore,0,4.36,"to-read, remove",to-read,0,
Search: A Novel,Michelle Huneven,0,3.91,"to-read, remove",to-read,0,
Vegetable Revelations: Inspiration for Produce-Forward Cooking,Steven Satterfield,0,5,"to-read, remove",to-read,0,
"The Gut-Friendly Cookbook: Delicious Low-FODMAP, Gluten-Free, Allergy-Friendly Recipes for a Happy Tummy",Alana  Scott,0,3.61,"to-read, cooking",to-read,0,
The Wok: Recipes and Techniques,J. Kenji López-Alt,0,4.65,"to-read, cooking",to-read,0,
Baked to Perfection: Delicious Gluten-Free Recipes with a Pinch of Science,Katarina Cermelj,0,4.57,"to-read, cooking",to-read,0,
"The Great Good Place: Cafes, Coffee Shops, Bookstores, Bars, Hair Salons, and Other Hangouts at the Heart of a Community",Ray Oldenburg,0,3.86,"to-read, theory",to-read,0,
Americanah,Chimamanda Ngozi Adichie,0,4.32,"to-read, theory",to-read,0,
Gordon Ramsay's Uncharted: A Culinary Adventure With 60 Recipes From Around the Globe,Gordon Ramsay,0,4.2,"to-read, cooking",to-read,0,
"Me Before You (Me Before You, #1)",Jojo Moyes,0,4.26,"to-read, chick-lit",to-read,0,
"After You (Me Before You, #2)",Jojo Moyes,0,3.74,"to-read, chick-lit",to-read,0,
"Still Me (Me Before You, #3)",Jojo Moyes,0,4.12,"to-read, chick-lit",to-read,0,
The Taking of Jake Livingston,Ryan Douglass,0,3.45,"to-read, ya",to-read,0,
We Are Okay,Nina LaCour,0,3.95,"to-read, ya",to-read,0,
They Both Die at the End,Adam Silvera,0,3.8,"to-read, ya",to-read,0,
"A Beautifully Foolish Endeavor (The Carls, #2)",Hank Green,0,4.25,"to-read, ya",to-read,0,
The Five People You Meet in Heaven,Mitch Albom,5,3.98,ya,read,100,
All Our Yesterdays,Cristin Terrill,5,4.02,ya,read,100,
The Vanishing Half,Brit Bennett,0,4.17,"to-read, ya",to-read,0,
"Peeta's Games (Peeta's Games, #1)",igsygrace,0,4.43,"to-read, ya",to-read,0,
"The Mutt (Peeta's Games, #3)",igsygrace,0,4.46,"to-read, ya",to-read,0,
"Throwing Sparks (Peeta's Games, #2)",igsygrace,0,4.52,"to-read, ya",to-read,0,
"Back to Twelve (Peeta’s Games, #4)",igsygrace,0,4.41,"to-read, ya",to-read,0,
"Homecoming (The 100, #3)",Kass Morgan,0,3.69,"to-read, ya",to-read,0,
"Rebellion (The 100, #4)",Kass Morgan,0,3.75,"to-read, ya",to-read,0,
"The 100 (The 100, #1)",Kass Morgan,0,3.57,"to-read, ya",to-read,0,
"Ready Player One (Ready Player One, #1)",Ernest Cline,0,4.23,ya,read,100,
